,Unnamed: 0,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded,year_YYYY,month_MM
143,143,2019-03-01,30,13,8,17,0,15,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,2
144,144,2019-08-01,33,9,8,10,1,30,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,7
145,145,2018-05-01,21,7,6,6,0,7,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2018,4
146,146,2020-02-01,30,2,2,4,8,0,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2020,1
147,147,2019-12-01,25,12,5,10,2,1,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,11
148,148,2020-01-01,21,8,5,11,2,5,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2020,0
149,149,2019-11-01,27,7,4,10,1,1,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0,2019,10
150,150,2019-02-01,49,11,6,18,0,43,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,1
151,151,2018-12-01,24,5,5,3,0,62,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2018,11
152,152,2018-09-01,44,5,4,4,0,69,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2018,8
153,153,2019-12-01,45,8,7,9,0,1,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,11
154,154,2019-04-01,44,4,3,2,0,71,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,3
155,155,2018-11-01,37,2,2,3,0,62,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2018,10
156,156,2019-05-01,49,6,4,5,0,61,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,4
157,157,2019-11-01,43,6,2,8,0,3,1007.0,Rural,1.0,Control,0.0,1.1666666,0.0,0.0,0.0,0.0,0.0,2019,10
