,uid,b_visit,b_pol_handling,b_safety,e_urja_knowledge,e_visit,e_pol_handling,e_safety,spw,e_gender,hh_id,member_gender,ps_code,population,urban,dist_urban,strat_pca,treatment,group,dist_id,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,attrited
105,10542161,1.0,0.0,3.0,,,,,0.0010615234,,1054216.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
106,10542181,1.0,,,,,,,0.0010615234,,1054218.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
107,10542191,0.0,1.0,3.6666667,No,0.0,0.8333333,3.6666667,0.0010615234,Female,1054219.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,0.0
108,10542211,0.0,0.75,3.0,,,,,0.0010615234,,1054221.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
109,10542231,0.0,0.0,3.3333333,,,,,0.0010615234,,1054223.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
110,10542241,0.0,1.0,3.3333333,No,0.0,0.33333334,3.3333333,0.0010615234,Female,1054224.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,0.0
111,10542271,0.0,0.85714287,3.3333333,,,,,0.0010615234,,1054227.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
112,10542291,0.0,0.8888889,3.3333333,,,,,0.0010615234,,1054229.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
113,10542301,0.0,0.8888889,3.6666667,No,0.0,1.0,3.6666667,0.0010615234,Male,1054230.0,male,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,0.0
114,10542311,0.0,0.8888889,3.0,,,,,0.0010615234,,1054231.0,female,3026.0,215000,Urban,4.0,0.884707,Treatment,regular mhd,3000.0,8.0,1.2875,2.15,1.0,0.0,1.0
